id;name;performer;release_year;disc_count;medium;label;state;added
1;cross-platform human-resource;FTP Fresh port;Infrastructure Lesotho Fantastic;mobile Motorway;EXE Fantastic Incredible;initiatives Table online;LOST;2022-02-09T02:07:33
2;Metal solid client-driven;Generic;payment;District HDD;Persistent hack;connecting Card;AWAY;2022-02-08T18:56:25
3;Mouse;Refined Coordinator seamless;real-time SSL;Directives Visionary;Ergonomic Cliffs deploy;bypassing Berkshire;EXPECTED;2022-02-09T01:06:54
4;frictionless Engineer Burkina;Bedfordshire National;Principal Plastic;up Generic;Polarised Paradigm;synergize Account;LOST;2022-02-08T15:30:50
5;Consultant Cambridgeshire Reactive;vortals;Tactics monitor GB;Internal;Interactions;Borders;LOST;2022-02-09T00:06:26
6;Incredible hack;Nevada Peso;orange;HTTP well-modulated;Solutions Pants;dedicated;EXPECTED;2022-02-08T13:19:57
7;Incredible;Borders Granite;Sweden Dynamic Technician;interface;Belgium Berkshire Bedfordshire;Cambridgeshire Auto;AWAY;2022-02-08T17:19:44
8;Object-based microchip Organized;Fantastic Niger;initiatives;systematic quantifying;Buckinghamshire;National Bike Court;AWAY;2022-02-09T08:10:26
9;Pizza Facilitator;background TCP;Ohio circuit quantifying;Shirt Gloves;transparent;Nebraska Fully-configurable;EXPECTED;2022-02-08T22:56:19
10;Table ability;Corporate 5th archive;communities deposit;Utah Borders;Cambridgeshire;Dynamic secondary;LOST;2022-02-09T04:49:43
